lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
3;214;nom;dégât;m.;FALSCH;Les dégâts de la tempête sont importants.;Schaden;m.;Die Sturmschäden sind erheblich.
4;215;verbe;fournir;;;L’entreprise doit fournir des preuves.;liefern;;Die Firma muss Beweise liefern.
4;216;phrase;;;;On dit qu’on parle le meilleur français à Tours, sur la Loire.;;;Man sagt, in Tours an der Loire spricht man das beste Französisch.
4;217;nom;maternelle;f.;FALSCH;Mon fils va à la maternelle depuis septembre.;Kindergarten;m.;Mein Sohn geht seit September in den Kindergarten.
4;218;nom;tisane;f.;FALSCH;Elle boit une tisane avant de dormir.;Kräutertee;m.;Sie trinkt vor dem Schlafengehen einen Kräutertee.
4;219;nom;infusion;f.;WAHR;J’aime les infusions à la menthe.;Tee;m.;Ich mag Pfefferminztee.
4;220;verbe;agrandir;;;Ils veulent agrandir la maison.;vergrößern;;Sie wollen das Haus vergrößern.
4;221;verbe;guérir;;;Ce médicament aide à guérir rapidement.;heilen;;Dieses Medikament hilft, schnell zu heilen.
4;222;nom;skieur;m;FALSCH;Le skieur descend la piste à toute vitesse.;Skifahrer;m.;Der Skifahrer fährt mit voller Geschwindigkeit die Piste hinunter.
4;223;adverbe;subitement;;;Il est tombé subitement malade.;plötzlich;;Er ist plötzlich krank geworden.
4;224;expression;au mois d’octobre;;;Il neige souvent au mois d’octobre ici.;im Oktober;;Hier schneit es oft im Oktober.
4;225;nom;couche;f.;FALSCH;Une couche de neige couvre les toits.;Schicht;f.;Eine Schneeschicht bedeckt die Dächer.
4;226;nom;tabouret;m;FALSCH;Peux-tu me passer le tabouret ?;Hocker;m.;Kannst du mir den Hocker reichen?
4;227;nom;rouille;f.;FALSCH;Il y a de la rouille sur le métal.;Rost;m.;Auf dem Metall ist Rost.
4;228;verbe;rouiller;;;Les vieilles chaînes ont commencé à rouiller.;rosten;;Die alten Ketten haben angefangen zu rosten.
4;229;nom;souliers;m. pl.;FALSCH;Il a mis ses souliers neufs pour la fête.;Schuhe;m. pl.;Er hat seine neuen Schuhe für die Feier angezogen.
4;230;nom;semelle;f.;FALSCH;La semelle de mes bottes est cassée.;Sohle;f.;Die Sohle meiner Stiefel ist kaputt.
4;231;nom;talon;m;FALSCH;Elle porte des chaussures à talon haut.;Absatz;m.;Sie trägt Schuhe mit hohen Absätzen.
4;232;nom;guêtres;f. pl.;FALSCH;Les guêtres protègent les jambes de la neige.;Gamaschen;f. pl.;Die Gamaschen schützen die Beine vor Schnee.
4;233;nom;boue;f.;FALSCH;Le chemin est plein de boue après la pluie.;Schlamm;m.;Der Weg ist nach dem Regen voller Schlamm.
4;234;nom;filet;m.;FALSCH;Il a attrapé le poisson avec un filet.;Netz;n.;Er hat den Fisch mit einem Netz gefangen.
4;235;nom;saisonnier;m.;FALSCH;Les travailleurs saisonniers viennent chaque hiver.;Saisonarbeiter;m.;Die Saisonarbeiter kommen jeden Winter.
4;236;nom;mètre cube;m.;FALSCH;On a besoin de dix mètres cubes de bois.;Kubikmeter;m.;Wir brauchen zehn Kubikmeter Holz.
4;237;nom;stockage;m.;FALSCH;Le stockage des données est sécurisé.;Speicherung;f.;Die Datenspeicherung ist sicher.
4;238;nom;retenue;f.;FALSCH;La retenue d’eau sert à produire de l’électricité.;Rückhaltebecken;n.;Das Rückhaltebecken dient der Stromerzeugung.
4;239;nom;acheminement;m.;WAHR;L’acheminement du courrier prend deux jours.;Transport;m.;Der Transport der Post dauert zwei Tage.
4;240;verbe;équilibrer;;;Il faut équilibrer le budget.;ausgleichen;;Man muss das Budget ausgleichen.
4;241;nom;sommet;m.;FALSCH;Du sommet, la vue est magnifique.;Gipfel;m.;Vom Gipfel aus ist die Aussicht wunderschön.
4;242;expression;en abondance;;;Les fleurs poussent en abondance au printemps.;im Überfluss;;Im Frühling wachsen die Blumen im Überfluss.
5;243;nom;otorhino;m.;WAHR;J’ai pris rendez-vous chez l’otorhino.;HNO-Arzt;m.;Ich habe einen Termin beim HNO-Arzt.
5;244;adjectif;utilisable;;;L’eau de pluie est utilisable après filtration.;verwendbar;;Regenwasser ist nach der Filterung verwendbar.
5;245;nom;héliportage;m.;WAHR;L’héliportage permet d’apporter du matériel en altitude.;Helikoptertransport;m.;Der Helikoptertransport ermöglicht den Materialtransport in der Höhe.
5;246;nom;coucher de soleil;m.;FALSCH;On admire le coucher de soleil sur la montagne.;Sonnenuntergang;m.;Man bewundert den Sonnenuntergang über dem Berg.
5;247;nom;mémoire;f.;FALSCH;Ce disque a une grande mémoire.;Datenspeicher;m.;Diese Festplatte hat einen großen Datenspeicher.
5;248;nom;accumulateur;m.;WAHR;Les accumulateurs stockent l’énergie solaire.;Energiespeicher;m.;Energiespeicher speichern Solarenergie.
5;249;verbe;accumuler;;;Il a accumulé beaucoup d’expérience.;ansammeln;;Er hat viel Erfahrung angesammelt.
5;250;nom;barque;f.;FALSCH;Ils traversent le lac en barque.;Boot;n.;Sie überqueren den See mit einem Boot.
5;251;nom;extension;f.;WAHR;L’extension du réseau est en cours.;Erweiterung;f.;Die Erweiterung des Netzes ist im Gange.
5;252;nom;damage;m.;FALSCH;Le damage des pistes commence à l’aube.;Präparierung;f.;Die Präparierung der Pisten beginnt im Morgengrauen.
5;253;nom;dameuse;f.;FALSCH;La dameuse passe chaque nuit.;Pistenraupe;f.;Die Pistenraupe fährt jede Nacht.
5;254;verbe;abattre des arbres;;;Ils ont dû abattre des arbres malades.;Bäume fällen;;Sie mussten kranke Bäume fällen.
5;255;verbe;débloquer;;;Il faut débloquer le compte avant de continuer.;entsperren;;Man muss das Konto entsperren, bevor man weitermacht.
5;256;nom;thermalisme;m.;FALSCH;Le thermalisme attire beaucoup de curistes.;Thermalwesen;n.;Das Thermalwesen zieht viele Kurgäste an.
5;257;nom;VTT (Vélo Tout Terrain);m.;FALSCH;Le VTT est très populaire en montagne.;Mountainbike;n.;Mountainbiken ist in den Bergen sehr beliebt.
5;258;nom;moniteur de parapente;m.;FALSCH;Le moniteur de parapente explique les consignes de sécurité.;Gleitschirmlehrer;m.;Der Gleitschirmlehrer erklärt die Sicherheitsregeln.
5;259;expression;étaler qc. sur l’année;;;Ils veulent étaler la fréquentation sur toute l’année.;über das Jahr verteilen;;Sie wollen den Besuch über das ganze Jahr verteilen.
5;260;expression;pas de / beaucoup de;;;Il n’y a pas de neige, mais beaucoup de vent.;kein / viel von;;Es gibt keinen Schnee, aber viel Wind.
5;261;nom;habits de ski;m. pl.;WAHR;Les habits de ski doivent être imperméables.;Skibekleidung;f.;Skibekleidung muss wasserdicht sein.
5;262;nom;raquettes;f. pl.;FALSCH;On marche avec des raquettes dans la neige.;Schneeschuhe;f. pl.;Man geht mit Schneeschuhen durch den Schnee.
5;263;nom;confinement;m.;FALSCH;Le confinement a changé nos habitudes.;Lockdown;m.;Der Lockdown hat unsere Gewohnheiten verändert.
5;264;nom;bottes de ski;f. pl.;FALSCH;Les bottes de ski sont lourdes à porter.;Skischuhe;f. pl.;Skischuhe sind schwer zu tragen.
5;265;nom;matériel;m.;FALSCH;Le matériel de ski est prêt.;Ausrüstung;f.;Die Skiausrüstung ist bereit.
5;266;nom;matériau;m.;FALSCH;Ce matériau est très résistant.;Material;n.;Dieses Material ist sehr widerstandsfähig.
5;267;expression;sans forfait;;;Ils skient sans forfait aujourd’hui.;ohne Skipass;;Sie fahren heute ohne Skipass Ski.
5;268;adverbe;suffisamment;;;Il n’a pas suffisamment dormi.;ausreichend;;Er hat nicht ausreichend geschlafen.
5;269;nom;bilan économique;m.;FALSCH;Le bilan économique de la station est positif.;wirtschaftliche Bilanz;f.;Die wirtschaftliche Bilanz des Skigebiets ist positiv.
5;270;expression;être dans le déni;;;Il est dans le déni de la réalité.;etwas leugnen;;Er leugnet die Realität.
5;271;verbe;avoir du mal à faire qc;;;J’ai du mal à me lever tôt.;Schwierigkeiten haben;;Ich habe Schwierigkeiten, früh aufzustehen.
5;272;nom;hydrogène;m.;WAHR;L’hydrogène est une énergie propre.;Wasserstoff;m.;Wasserstoff ist eine saubere Energiequelle.
5;273;expression;faire perdurer qc;;;Ils veulent faire perdurer la tradition.;etwas fortbestehen lassen;;Sie wollen die Tradition fortbestehen lassen.
5;274;nom;sobriété;f.;FALSCH;La sobriété énergétique est un objectif national.;Genügsamkeit;f.;Energetische Genügsamkeit ist ein nationales Ziel.
5;275;nom;gaz à effet de serre;m. pl.;FALSCH;Les gaz à effet de serre augmentent la température.;Treibhausgase;m. pl.;Die Treibhausgase erhöhen die Temperatur.
5;276;expression;faire figure de bon élève;;;La France fait figure de bon élève en matière d’écologie.;als Musterschüler gelten;;Frankreich gilt in Sachen Ökologie als Musterschüler.
5;277;nom;éolienne;f.;WAHR;Une éolienne produit de l’électricité grâce au vent.;Windkraftanlage;f.;Eine Windkraftanlage erzeugt Strom durch Wind.
