lesson;id;sid;fr;de
7;322;322;Il a besoin d'un soutien affectif.;Er braucht emotionale Unterstützung.
7;323;323;Elle sait gérer les désaccords dans son équipe.;Sie kann Unstimmigkeiten in ihrem Team managen.
7;324;324;La fratrie compte trois enfants.;Die Geschwister sind zu dritt.
7;325;325;Cette erreur pourrait le pénaliser.;Dieser Fehler könnte ihn benachteiligen.
7;326;326;Ce n'est pas grave, mais ce n'est pas normal pour autant.;Es ist nicht schlimm, aber dennoch nicht normal.
7;327;327;Son rang de naissance influence son caractère.;Sein Geburtsrang beeinflusst seinen Charakter.
7;328;328;Les enfants répandent leurs jouets partout.;Die Kinder verteilen ihr Spielzeug überall.
7;329;329;L'aîné aide souvent les plus jeunes.;Der Älteste hilft oft den Jüngeren.
7;330;330;Le cadet est plus timide que son frère.;Der Jüngste ist schüchterner als sein Bruder.
7;331;331;À l'adolescence, il était très rebelle.;In der Jugend war er sehr rebellisch.
7;332;332;Cette campagne vise une large cible.;Diese Kampagne richtet sich an eine breite Zielgruppe.
7;333;333;Il faut davantage de temps pour finir ce projet.;Man braucht mehr Zeit, um dieses Projekt zu beenden.
7;334;334;La mère gronde son fils.;Die Mutter schimpft mit ihrem Sohn.
7;335;335;Il ne faut pas le blâmer pour cette erreur.;Man sollte ihn für diesen Fehler nicht tadeln.
7;336;336;Elle a toujours été gentille à son égard.;Sie war immer nett zu ihm
7;337;337;Ils se sont rapprochés à l'âge adulte.;Sie haben sich im Erwachsenenalter angenähert.
7;338;338;Le temps a détendu les liens entre eux.;Die Zeit hat die Bindung zwischen ihnen gelockert.
7;339;339;Ils veulent rassembler la famille pour Noël.;Sie wollen die Familie zu Weihnachten versammeln.
7;340;340;Ils sont mariés par convention, pas par amour.;Sie sind aus Konvention verheiratet, nicht aus Liebe.
8;341;341;Quelle pipelette, elle parle sans arrêt !;Was für eine Plaudertasche, sie redet ohne Ende!
8;342;342;Ils organisent une boum pour fêter la fin des examens.;Sie veranstalten eine Party, um das Ende der Prüfungen zu feiern.
8;343;343;Je m'entends bien avec mes collègues.;Ich verstehe mich gut mit meinen Kollegen.
8;344;344;Elle s'entend mal avec son frère.;Sie versteht sich schlecht mit ihrem Bruder.
8;345;345;Les jumeaux se ressemblent beaucoup.;Die Zwillinge ähneln sich sehr.
8;346;346;Les jumelles portent les mêmes vêtements.;Die Zwillingsschwestern tragen die gleichen Kleider.
8;347;347;Ce sont de vrais jumeaux, ils se ressemblent parfaitement.;Das sind eineiige Zwillinge, sie sehen völlig gleich aus.
8;348;348;Les faux jumeaux ne se ressemblent pas vraiment.;Die zweieiigen Zwillinge sehen sich nicht wirklich ähnlich.
8;349;349;Je confonds toujours leurs prénoms.;Ich verwechsel ihre Vornamen ständig.
8;350;350;Le bébé est né prématuré.;Das Baby wurde frühgeboren.
8;351;351;On distingue à peine les montagnes dans le brouillard.;Man erkennt die Berge im Nebel kaum
8;352;352;Tous les citoyens sont égaux devant la loi.;Alle Bürger sind vor dem Gesetz gleich.
8;353;353;Mon fils est à la maternelle depuis septembre.;Mein Sohn ist seit September im Kindergarten.
8;354;354;La crèche ouvre à sept heures du matin.;Die Kinderkrippe öffnet um sieben Uhr morgens.
8;355;355;La Haye est une ville importante aux Pays-Bas.;Den Haag ist eine wichtige Stadt in den Niederlanden.
8;356;356;Une haie sépare les deux jardins.;Eine Hecke trennt die beiden Gärten.
8;357;357;Il a changé de sujet pour éviter la question.;Er hat das Thema gewechselt, um der Frage auszuweichen.
8;358;358;Il fait le malade pour ne pas aller à l'école.;Er stellt sich krank, um nicht in die Schule zu gehen.
9;359;359;Ce projet répond à un vrai besoin.;Dieses Projekt deckt einen echten Bedarf.
9;360;360;La réunion vient de prendre fin.;Die Besprechung ist gerade zu Ende gegangen.
9;361;361;On pense que tout est simple, mais c'est loin d'être le cas.;Man denkt, alles sei einfach, aber das ist bei weitem nicht der Fall.
9;362;362;Je pars lorsque tu arrives, afin que tu ne sois pas seul.;Ich gehe, wenn du kommst, damit du nicht allein bist.
9;363;363;Il a dissimulé son identité pendant des années.;Er hat seine Identität jahrelang verborgen.
9;364;364;Peux-tu changer de place avec moi ?;Kannst du mit mir den Platz tauschen?
9;365;365;Le conducteur a ralenti avant le virage.;Der Fahrer wurde vor der Kurve langsamer.
9;366;366;Il m'a fait des appels de phare pour me prévenir.;Er hat mir mit der Lichthupe Bescheid gegeben.
9;367;367;Le gyrophare bleu clignote sur la voiture de police.;Das Blaulicht blinkt auf dem Polizeiauto.
9;368;368;Elle s'intéresse beaucoup à la généalogie de sa famille.;Sie interessiert sich sehr für die Ahnenforschung ihrer Familie.
9;369;369;Ils ont créé un arbre généalogique détaillé.;Sie haben einen detaillierten Stammbaum erstellt.
9;370;370;L'avis de décès a été publié dans le journal.;Die Todesanzeige wurde in der Zeitung veröffentlicht.
9;371;371;C'est une coutume d'autrefois.;Das ist ein Brauch von früher.
9;372;372;Il regarde la télé au lieu de faire ses devoirs.;Er schaut fern, anstatt seine Hausaufgaben zu machen.
9;373;373;J'ai écrit la lettre au brouillon avant de la recopier.;Ich habe den Brief im Entwurf geschrieben, bevor ich ihn abgeschrieben habe.
9;374;374;Elle a envoyé une lettre de condoléances à la famille.;Sie hat der Familie einen Beileidsbrief geschickt.
9;375;375;L'arbitre a arrêté le match.;Der Schiedsrichter hat das Spiel unterbrochen.
9;376;376;Il y a eu une coupure d'électricité hier soir.;Gestern Abend gab es einen Stromausfall.
9;377;377;Il s'interroge en continu sur le sens de la vie.;Er denkt ständig über den Sinn des Lebens nach.
9;378;378;Elle travaille comme conseillère de vie.;Sie arbeitet als Lebensberaterin.
9;379;379;C'est son confident depuis des années.;Er ist seit Jahren ihr Vertrauter.
9;380;380;Les cadres ont souvent des horaires chargés.;Leitende Angestellte haben oft volle Arbeitszeiten.
9;381;381;Il a noué une relation de confiance avec son équipe.;Er hat ein Vertrauensverhältnis zu seinem Team aufgebaut.
9;382;382;La conférence s'est déroulée sans problème.;Die Konferenz verlief ohne Probleme.
9;383;383;Elle s'est taillé une place dans le milieu artistique.;Sie hat sich in der Kunstszene einen Platz erkämpft.
9;384;384;L'interlocuteur a bien compris la question.;Der Gesprächspartner hat die Frage gut verstanden.
9;385;385;Le professeur n'aime pas le bavardage en classe.;Der Lehrer mag kein Geplauder im Unterricht.
9;386;386;Elle m'a fait un aveu confidentiel.;Sie hat mir ein vertrauliches Geständnis gemacht.
9;387;387;Il faut toujours respecter autrui.;Man sollte immer andere Menschen respektieren.
9;388;388;Il occupe ce poste par intérim;Er besetzt diese Stelle vorübergehend.
9;389;389;Ce cadeau a comblé ses attentes.;Dieses Geschenk hat seine Erwartungen erfüllt.
9;390;390;L'émulation entre collègues peut être positive.;Wettstreit unter Kollegen kann positiv sein.
9;391;391;Son épanchement de sentiments m'a touché.;Sein Gefühlsausbruch hat mich berührt.
9;392;392;L'Odyssée est une grande épopée grecque.;Die Odyssee ist ein großes griechisches Epos.
9;393;393;Il était un peu emprunté pendant la réunion.;Er war während der Besprechung etwas gehemmt.
9;394;394;L'enseignant l'a invité à challenger la réponse donnée.;Der Lehrer forderte ihn auf, die gegebene Antwort zu hinterfragen.
9;395;395;Après un échec, il a su rebondir.;Nach einem Misserfolg hat er sich wieder aufgerappelt.
9;396;396;Ce bâtiment a une forme très esthétique.;Dieses Gebäude hat eine sehr ästhetische Form
9;397;397;Les arabesques décorent le plafond du palais.;Die Arabesken schmücken die Decke des Palastes.
9;398;398;Le risque est faible, presque négligeable.;Das Risiko ist gering, fast vernachlässigbar.
9;399;399;Il a du mal à s'en passer depuis qu'il a commencé.;Er kann nur schwer darauf verzichten, seit er angefangen hat.
9;400;400;Cette expérience valorise ton parcours professionnel.;Diese Erfahrung wertet deinen beruflichen Werdegang auf.
9;401;401;Cette situation met sa patience à l'épreuve.;Diese Situation stellt seine Geduld auf die Probe.
9;402;402;Depuis son divorce, il est reclus socialement.;Seit seiner Scheidung lebt er sozial zurückgezogen.
9;403;403;Il est trop complaisant avec ses collègues.;Er ist zu nachsichtig mit seinen Kollegen.
9;404;404;Il voulait venir, or il était malade.;Er wollte kommen, jedoch war er krank.
9;405;405;Il a donné un avis appuyé sur la question.;Er hat eine nachdrückliche Meinung zu der Frage geäußert.
10;406;406;Il viendra demain, du moins je l'espère.;Er wird morgen kommen – wenigstens hoffe ich das.
10;407;407;Elle porte une oreillette pour téléphoner en voiture.;Sie trägt einen Ohrhörer zum Telefonieren im Auto.
10;408;408;Mes écouteurs ne fonctionnent plus.;Meine In-Ear-Kopfhörer funktionieren nicht mehr.
10;409;409;J'utilise un casque pour écouter de la musique.;Ich benutze Kopfhörer, um Musik zu hören.
10;410;410;La poussette est pliée dans le coffre de la voiture.;Der Kinderwagen liegt im Kofferraum
10;411;411;La probabilité de gagner est très faible.;Die Gewinnwahrscheinlichkeit ist sehr gering.
10;412;412;Le plagiat est puni par la loi.;Plagiate werden gesetzlich bestraft.
10;413;413;Les enfants apprennent la table de multiplication à l'école.;Die Kinder lernen in der Schule das Einmaleins.
11;414;414;La police a interpellé le conducteur.;Die Polizei hat den Fahrer gestellt.
11;415;415;Le chantier bloque une partie de la route.;Die Baustelle blockiert einen Teil der Straße.
11;416;416;Il y a des travaux dans la rue aujourd'hui.;Heute gibt es Straßenarbeiten.
11;417;417;La piste cyclable est fermée pour travaux.;Der Fahrradweg ist wegen Bauarbeiten gesperrt.
11;418;418;Attention, c'est une rue à sens unique !;Vorsicht, das ist eine Einbahnstraße!
11;419;419;L'automobiliste a freiné trop tard.;Der Autofahrer hat zu spät gebremst.
11;420;420;J'ai croisé quelqu'un qui m'a reconnu.;Ich bin jemandem begegnet, der mich erkannt hat.
11;421;421;La voiture a failli renverser un piéton.;Das Auto hätte beinahe einen Fußgänger überfahren.
11;422;422;Un homme rôdait près des voitures.;Ein Mann schlich um die Autos herum
11;423;423;Nous avons marché au bord du Rhin.;Wir sind am Rheinufer entlanggelaufen.
11;424;424;Le cycliste a doublé la voiture.;Der Radfahrer hat das Auto überholt.
11;425;425;J'y suis allé hier sans problème.;Ich bin gestern ohne Probleme dorthin gegangen.
11;426;426;Il y a une bosse au milieu de la route.;In der Straßenmitte ist eine Bodenwelle.
11;427;427;Ses boucles brillent au soleil.;Ihre Locken glänzen in der Sonne.
11;428;428;Il est interdit de doubler ici.;Hier ist Überholen verboten.
11;429;429;Un scarabée traverse la route.;Ein Käfer überquert die Straße.
11;430;430;Il a acheté une vieille Coccinelle.;Er hat einen alten VW-Käfer gekauft.
11;431;431;On peut passer sur le périphérique pour éviter le centre.;Man kann über die Ringstraße fahren, um das Zentrum zu vermeiden.
11;432;432;Il a klaxonné pour prévenir le cycliste.;Er hat gehupt, um den Radfahrer zu warnen.
11;433;433;Les GPS indiquent un autre itinéraire.;Die GPS-Geräte zeigen eine andere Route an.
11;434;434;Le frein ne répond plus !;Die Bremse reagiert nicht mehr!
11;435;435;J'ai garé la voiture derrière l'immeuble.;Ich habe das Auto hinter dem Gebäude geparkt.
11;436;436;Les flics sont arrivés en deux minutes.;Die Polizei war in zwei Minuten da.
11;437;437;Le métro est bondé ce matin.;Die U-Bahn ist heute Morgen überfüllt.
11;438;438;La pollution sonore augmente en ville.;Die Lärmverschmutzung nimmt in der Stadt zu.
11;439;439;Ils ont eu une discussion vive dans la rue.;Sie hatten eine heftige Diskussion auf der Straße.
11;440;440;Les nombres pairs sont plus simples à diviser.;Gerade Zahlen sind leichter zu teilen.
11;441;441;Les nombres impairs sont parfois plus complexes.;Ungerade Zahlen sind manchmal komplizierter.
11;442;442;Le trafic est très fluide ce matin.;Der Verkehr ist heute Morgen sehr flüssig.
11;443;443;Ça y fait quand il y a moins de voitures.;Das macht etwas aus, wenn weniger Autos unterwegs sind.
11;444;444;Ce tronçon d'autoroute est payant.;Dieser Autobahnabschnitt ist mautpflichtig.
11;445;445;La circulation est fluide ce soir.;Der Verkehr ist heute Abend flüssig.
11;446;446;Un bouchon bloque l'autoroute.;Ein Stau blockiert die Autobahn.
11;447;447;J'ai remis le bouchon sur la bouteille.;Ich habe den Flaschenverschluss wieder aufgesetzt.
11;448;448;J'aime aller dans Paris en train.;Ich fahre gern mit dem Zug nach Paris hinein.
11;449;449;Ma voiture a une vignette Crit'Air 2.;Mein Auto hat eine Crit'Air-Plakette 2.
11;450;450;Le trottoir est encombré de scooters.;Der Gehweg ist mit Rollern blockiert.
11;451;451;On respire mieux depuis la réduction du trafic.;Man atmet besser, seit der Verkehr reduziert wurde.
11;452;452;Le piéton traverse au passage protégé.;Der Fußgänger überquert am Zebrastreifen.
11;453;453;La nouvelle loi est en vigueur dès lundi.;Das neue Gesetz tritt ab Montag in Kraft.
11;454;454;Un barrage bloque l'accès au centre-ville.;Eine Sperre blockiert den Zugang zur Innenstadt.
11;455;455;L'accès est réservé aux riverains.;Der Zugang ist nur für Anwohner erlaubt.
11;456;456;Il faut être muni d'un justificatif de domicile.;Man muss einen Wohnsitznachweis bei sich haben.
11;457;457;On doit présenter un justificatif de domicile.;Man muss einen Wohnsitznachweis vorlegen.
11;458;458;Il s'agace quand on lui coupe la parole.;Er wird genervt, wenn man ihn unterbricht.
11;459;459;Il ne faut pas crier dessus les enfants.;Man sollte Kinder nicht anschreien.
11;460;460;Il est toujours jovial avec ses collègues.;Er ist immer fröhlich mit seinen Kollegen.
11;461;461;Cette voie est réservée aux bus.;Diese Fahrspur ist für Busse reserviert.
11;462;462;Au sol, le traçage des voies interpelle les passants.;Die Markierung der Fahrbahnen am Boden fällt Passanten auf.
11;463;463;Il lit tandis que j'écris.;Er liest, während ich schreibe.
11;464;464;Le maire a présenté un nouveau projet urbain.;Der Bürgermeister hat ein neues Stadtprojekt vorgestellt.
11;465;465;Il n'y a aucun indice sur l'origine du bruit.;Es gibt keinen Hinweis auf die Herkunft des Geräuschs.
11;466;466;Il est tombé dans l'escalier en courant.;Er ist die Treppe hinuntergefallen.
11;467;467;On doit passer par Paris pour aller à Rouen.;Wir müssen durch Paris fahren, um nach Rouen zu kommen.
11;468;468;Les enfants jouent dans la rue.;Die Kinder spielen auf der Straße.
11;469;469;Il est assis sur l'herbe.;Er sitzt auf dem Gras.
11;470;470;Cette technologie supplante l'ancienne.;Diese Technologie verdrängt die alte.
11;471;471;On veut embellir le centre-ville.;Man möchte die Innenstadt verschönern.
11;472;472;La ville veut végétaliser les toits.;Die Stadt möchte die Dächer begrünen.
11;473;473;Le centre a été piétonnisé cet été.;Das Zentrum wurde diesen Sommer zur Fußgängerzone umgewandelt.
11;474;474;Le terrain est en pente derrière la maison.;Hinter dem Haus ist das Gelände abschüssig.
11;475;475;Ils ont enlevé les barrières après les travaux.;Sie haben die Absperrungen nach den Arbeiten entfernt.
11;476;476;Les habitants se sont insurgés contre le projet.;Die Bewohner haben sich über das Projekt empört.
11;477;477;L'effacement des graffitis a coûté cher.;Die Entfernung der Graffitis war teuer.
11;478;478;Il avance d'un pas mal assuré.;Er geht mit einem unsicheren Schritt.
11;479;479;Il se sent mal assuré dans cette situation.;Er fühlt sich in dieser Situation unsicher.
12;480;480;Autrefois, la ville était beaucoup plus calme.;Früher war die Stadt viel ruhiger.
12;481;481;Il habite autre part maintenant.;Er wohnt jetzt woanders.
12;482;482;La situation s'est détériorée.;Die Situation hat sich verschlechtert.
12;483;483;Cette décision a détérioré l'ambiance.;Diese Entscheidung hat die Stimmung verschlechtert.
12;484;484;Ils ont annulé la réunion.;Sie haben das Treffen abgesagt.
12;485;485;Il fouille dans son sac pour chercher ses clés.;Er kramt in seiner Tasche nach seinen Schlüsseln.
12;486;486;Il y a trop de bazar sur la table.;Auf dem Tisch liegt zu viel Kram.
12;487;487;Après le travail, j'aime me détendre.;Nach der Arbeit entspanne ich mich gern.
12;488;488;La ville veut supprimer des places de parking.;Die Stadt will Parkplätze abschaffen.
12;489;489;La France a aboli la peine de mort.;Frankreich hat die Todesstrafe abgeschafft.
12;490;490;Il y a souvent des embouteillages sur le périphérique.;Auf dem Stadtring gibt es oft Staus.
12;491;491;Il habite en périphérie de la ville.;Er wohnt am Stadtrand.
12;492;492;La pollution diminue lentement.;Die Verschmutzung nimmt ab.
12;493;493;Finalement, ça a porté ses fruits.;Am Ende hat es etwas gebracht.
12;494;494;Une nouvelle mesure a été annoncée.;Eine neue Maßnahme wurde angekündigt.
12;495;495;Un radar contrôle la vitesse ici.;Hier überwacht ein Blitzer die Geschwindigkeit.
12;496;496;Il faut faire attention aux véhicules en face.;Man muss auf die entgegenkommenden Fahrzeuge achten.
12;497;497;Cette action lui a valu une bonne réputation.;Diese Aktion hat ihm einen guten Ruf eingebracht.
12;498;498;Le quartier bâti est plus dense.;Das bebaute Viertel ist dichter.
12;499;499;La région a été battue par les vents.;Die Region wurde von Winden heimgesucht.
12;500;500;Je prends souvent le métro pour aller au travail.;Ich nehme oft die U-Bahn.
12;501;501;C'est une rue piétonne, sans voitures.;Das ist eine Fußgängerzone, ohne Autos.
12;502;502;C'est une rue large et lumineuse.;Das ist eine breite Straße.
12;503;503;Les feux sont passés au rouge.;Die Ampeln sind auf Rot gesprungen.
12;504;504;Ce sont des conditions spéciales.;Das sind besondere Bedingungen.
12;505;505;Il se déplace en trottinette.;Er fährt mit einem E-Scooter.
12;506;506;Le cycliste se faufile entre les voitures.;Der Radfahrer schlängelt sich zwischen den Autos durch.
12;507;507;La ville veut récompenser les habitants.;Die Stadt will die Bewohner jmdn. entlohnen.
12;508;508;L'air est enfin respirable.;Die Luft ist endlich atembar.
12;509;509;Les gaz d'échappement polluent l'air.;Abgase verschmutzen die Luft.
12;510;510;Il restaure un vieux Solex.;Er restauriert einen alten Solex.
12;511;511;Le prix a augmenté de dix pour cent.;Der Preis ist um zehn Prozent gestiegen.
12;512;512;Il possède un appartement.;Er besitzt eine Wohnung.
12;513;513;Le bâtiment est en bon état.;Das Gebäude ist in gutem Zustand.
12;514;514;J'ai garé la voiture plus loin.;Ich habe das Auto weiter weg geparkt.
12;515;515;La route est en forte pente.;Die Straße hat eine starke Steigung.
12;516;516;La maison a brûlé.;Das Haus ist abgebrannt.
12;517;517;L'ambiance est chaleureuse, pas agressive.;Die Stimmung ist herzlich, nicht aggressiv.
12;518;518;C'était un débat très houleux.;Das war eine sehr hitzige Debatte.
12;519;519;C'est un concept intéressant.;Das ist ein interessantes Konzept.
12;520;520;Il y a une fontaine sur la place.;Auf dem Platz steht ein Brunnen.
12;521;521;On suit la trace laissée au sol.;Man folgt der am Boden hinterlassenen Spur.
12;522;522;La ville veut élargir la route.;Die Stadt will die Straße verbreitern.
12;523;523;Il regrette cette décision.;Er bereut diese Entscheidung.
12;524;524;Elle regrette son amie.;Sie trauert ihrer Freundin nach.
12;525;525;C'est plus commode de venir en métro.;Es ist bequemer, mit der U-Bahn zu kommen.
12;526;526;J'attends une réponse.;Ich erwarte eine Antwort.
12;527;527;Il a réussi à se garer.;Er hat es geschafft, einzuparken.
12;528;528;Le mur s'est effondré.;Die Mauer ist eingestürzt.
